,id,host_response_rate,accommodates,bathrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,security_deposit,TV,Internet,Wifi,Heating,Air Conditioning,Cooking,Free Parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,prpt_Apartment,prpt_Bed and breakfast,prpt_Boutique hotel,prpt_Condominium,prpt_Guest suite,prpt_House,prpt_Loft,prpt_Serviced apartment,prpt_Townhouse,prpt_others,distance_ts,price_label,rating_label,price_rating_label,group_label,predict_label
248,140195,100.0,2,1,3,195,138,91.0,65.0,100.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.685571057687016,1,1,11,3,3
251,141335,88.0,5,2,1,365,35,87.0,495.0,500.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9.318304773229928,0,1,01,1,1
258,150804,100.0,4,1,2,23,16,100.0,250.0,500.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.317510775228135,0,0,00,0,0
280,167013,100.0,2,1,5,76,3,100.0,205.0,200.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.9064717179761024,0,0,00,0,0
285,169306,62.0,2,1,4,209,111,89.0,37.0,100.0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.852258835709266,1,1,11,3,3
292,174668,40.0,6,1,30,252,5,75.0,65.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10.332105333308775,1,1,11,3,0
298,179428,85.0,2,1,2,291,62,88.0,53.0,0.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.753977791619224,1,1,11,3,3
325,197903,85.0,1,1,3,339,65,89.0,50.0,100.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.787519062825536,1,1,11,3,3
329,204065,100.0,6,1,2,254,54,91.0,248.0,250.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.307595715359946,0,1,01,1,1
336,206071,100.0,5,1,2,274,236,85.0,50.0,100.0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9.42050814884817,1,1,11,3,3
366,230854,100.0,6,1,2,308,218,87.0,50.0,100.0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9.545370256369901,1,1,11,3,3
371,234034,96.0,7,1,3,297,52,74.0,325.0,600.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.937192634283302,0,1,01,1,1
377,237127,100.0,6,1,2,233,132,87.0,189.0,300.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.3035063624317416,0,1,01,1,1
378,237162,100.0,2,1,5,349,59,89.0,55.0,0.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.465231957080832,1,1,11,3,3
390,245607,100.0,2,1,5,284,29,91.0,226.0,0.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2731651666619137,0,1,01,1,1
392,247562,100.0,2,1,3,349,23,91.0,52.0,0.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.600187692660153,1,1,11,3,3
393,248871,100.0,8,2,3,302,122,90.0,700.0,400.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4787303801871503,0,1,01,1,1
394,250259,100.0,2,1,5,364,12,100.0,300.0,0.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.9684153330997685,0,0,00,0,0
405,256328,100.0,4,2,5,343,3,100.0,725.0,1500.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0533772424248027,0,0,00,0,0
415,260765,100.0,4,1,2,311,257,89.0,189.0,500.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.1569754354042203,0,1,01,1,1
419,262583,100.0,4,1,4,255,138,88.0,300.0,300.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.287309627975484,0,1,01,1,1
422,263888,100.0,2,1,2,58,126,100.0,195.0,350.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.005637160617659,0,0,00,0,1
428,266449,100.0,4,1,4,336,62,91.0,195.0,100.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.3400382767915415,0,1,01,1,1
429,267652,100.0,2,1,5,33,20,100.0,60.0,150.0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.953556902255116,1,0,10,2,2
433,270139,100.0,2,1,5,52,21,87.0,45.0,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.945503161222705,1,1,11,3,3
441,272026,50.0,2,1,122,341,20,87.0,53.0,0.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11.961458602392574,1,1,11,3,3
444,272738,67.0,2,1,2,174,34,87.0,60.0,100.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.4929939552573686,1,1,11,3,3
455,278090,93.0,2,1,3,307,198,89.0,50.0,0.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.370567760698714,1,1,11,3,3
